field,ID,RA,DEC,z_peak,z_a,z_ml,z_spec,Prob_gt_6,Prob_gt_7,Prob_gt_8,Prob_gt_9,chi_a,nfilt,clean_lw_bands,tag_low_prob,tag_spec_conflict,tag_low_red_coverage,tag_lowz_competitive
GOODS-N,1039799,189.2635,62.154793,6.889999866485596,6.889999866485596,6.888680458068848,-9999.0,0.9999998211860657,0.05993017554283142,1.8249677680159948e-07,1.5698863320423584e-09,26.001527786254883,14,6,0,0,0,0
GOODS-N,1039964,189.20578,62.15531,7.490000247955322,7.490000247955322,7.4864726066589355,-9999.0,0.999536395072937,0.9703482389450073,0.0026049090083688498,1.6240668628597632e-05,3.139869213104248,14,6,0,0,0,0
GOODS-N,1040073,189.27869,62.155552,7.490000247955322,7.490000247955322,7.487155914306641,-9999.0,0.9999843239784241,0.9931472539901733,0.0003170312265865505,1.556354072818067e-05,7.272407054901123,14,6,0,0,0,0
GOODS-N,1040201,189.29991,62.155933,7.369999885559082,7.369999885559082,7.369422912597656,-9999.0,1.0,1.0,1.0481759638849772e-13,1.463432885041668e-17,21.33945083618164,14,6,0,0,0,0
GOODS-N,1040246,189.29845,62.156048,7.440000057220459,7.440000057220459,7.440370082855225,-9999.0,0.9999406933784485,0.9899886250495911,0.058634981513023376,0.000994765548966825,12.251585006713867,14,6,0,0,0,0
GOODS-N,1040264,189.30087,62.15612,6.930000305175781,6.930000305175781,6.933012962341309,-9999.0,0.9986345171928406,0.0947079211473465,0.00029798803734593093,0.00010199380631092936,13.1749849319458,14,6,0,0,0,0
GOODS-N,1040364,189.22601,62.156433,7.909999847412109,7.909999847412109,7.9130377769470215,-9999.0,0.9996204376220703,0.9949864149093628,0.5100066065788269,0.0020494137424975634,14.22587776184082,14,6,0,0,0,0
GOODS-N,1040446,189.2284,62.156723,7.240000247955322,7.240000247955322,7.242890357971191,-9999.0,0.9901092052459717,0.9192246794700623,0.045281317085027695,0.0028699913527816534,2.5469467639923096,14,6,0,0,0,0
GOODS-N,1040464,189.28012,62.156776,10.0,10.0,9.992980003356934,-9999.0,1.0,1.0000001192092896,1.0,0.9999973177909851,16.166385650634766,14,6,0,0,0,0
GOODS-N,1040476,189.31773,62.156845,7.490000247955322,7.490000247955322,7.4943928718566895,-9999.0,0.9999998807907104,0.9999998807907104,0.00023647118359804153,5.187743681744905e-06,17.86109733581543,14,6,0,0,0,0
GOODS-N,1040632,189.26978,62.15727,6.690000057220459,6.690000057220459,6.686258316040039,-9999.0,0.9784517884254456,0.040267474949359894,0.0010348607320338488,7.2253883445227984e-06,8.073052406311035,14,6,0,0,0,0
GOODS-N,1040635,189.32608,62.15725,12.380000114440918,12.380000114440918,12.377628326416016,-9999.0,0.994917631149292,0.9949175715446472,0.9949175715446472,0.9949159026145935,6.517137050628662,14,6,0,0,0,0
GOODS-N,1040636,189.32034,62.15726,7.050000190734863,7.050000190734863,7.05393123626709,-9999.0,0.9999998807907104,0.9075025320053101,2.2204042124940315e-06,2.489317640907984e-10,16.22487449645996,14,6,0,0,0,0
GOODS-N,1040907,189.33731,62.158066,6.630000114440918,6.630000114440918,6.630080699920654,-9999.0,0.9051570892333984,0.020257174968719482,0.008002672344446182,0.005327083636075258,7.669344425201416,14,6,0,0,0,0
GOODS-N,1040910,189.32384,62.1581,7.180000305175781,7.180000305175781,7.18066930770874,-9999.0,0.9999998807907104,0.9558858275413513,0.0013801405439153314,4.823959898203611e-07,10.324925422668457,14,6,0,0,0,0
GOODS-N,1040945,189.3424,62.15816,10.75,10.75,10.748493194580078,-9999.0,0.9970682859420776,0.997067928314209,0.9970669746398926,0.9965516924858093,8.788164138793945,14,6,0,0,0,0
GOODS-N,1041009,189.23033,62.1584,8.920000076293945,8.920000076293945,8.914828300476074,-9999.0,0.9999999403953552,0.9999999403953552,0.9999483227729797,0.30594557523727417,8.703324317932129,14,6,0,0,0,0
GOODS-N,1041088,189.22809,62.158577,7.019999980926514,7.019999980926514,7.021183490753174,-9999.0,0.9895161986351013,0.5946834683418274,0.016105884686112404,7.735169492661953e-05,3.7038004398345947,14,6,0,0,0,0
GOODS-N,1041117,189.28995,62.158646,8.020000457763672,8.020000457763672,8.021774291992188,-9999.0,0.9993308782577515,0.997929036617279,0.536935031414032,0.03572956845164299,10.297353744506836,14,6,0,0,0,0
GOODS-N,1041235,189.32904,62.15892,7.059999942779541,7.059999942779541,7.062674045562744,-9999.0,0.9306504130363464,0.48832154273986816,0.0005084555596113205,1.3091213077132124e-05,6.283247947692871,14,6,0,0,0,0
GOODS-N,1041363,189.27519,62.15928,6.639999866485596,6.639999866485596,6.6443376541137695,-9999.0,0.9999956488609314,0.000191304279724136,9.37959185876025e-08,1.4759090616323078e-09,9.6701021194458,14,6,0,0,0,0
GOODS-N,1041458,189.3143,62.159508,6.619999885559082,6.619999885559082,6.614917278289795,-9999.0,0.9991441369056702,0.0012966053327545524,0.0009818663820624352,0.0007322689052671194,16.849884033203125,14,6,0,0,0,0
GOODS-N,1041582,189.2304,62.15984,7.639999866485596,7.639999866485596,7.640192031860352,-9999.0,0.9980037212371826,0.9879472255706787,0.4743238091468811,0.021553557366132736,7.530847549438477,14,6,0,0,0,0
GOODS-N,1041610,189.22943,62.159946,7.110000133514404,7.110000133514404,7.104287624359131,-9999.0,0.9150596261024475,0.7798749804496765,0.014550085179507732,0.0014939100947231054,5.905869007110596,14,6,0,0,0,0
GOODS-N,1041633,189.21138,62.160027,8.480000495910645,8.480000495910645,8.476648330688477,-9999.0,0.9998506307601929,0.9880650639533997,0.8006490468978882,0.07546289265155792,2.90537691116333,14,6,0,0,0,0
GOODS-N,1041717,189.20491,62.160233,6.680000305175781,6.680000305175781,6.6814351081848145,-9999.0,0.9991253614425659,0.0014225393533706665,0.0010944955283775926,0.001065241638571024,7.462320804595947,14,6,0,0,0,0
GOODS-N,1041740,189.36421,62.160233,6.639999866485596,6.639999866485596,6.637186527252197,-9999.0,0.9896209836006165,0.01127530075609684,0.004447295796126127,0.002357376739382744,7.139431476593018,14,6,0,0,0,0
GOODS-N,1041767,189.30434,62.160427,7.180000305175781,7.180000305175781,7.182979106903076,-9999.0,1.0000001192092896,0.9384129047393799,0.008890817873179913,3.1993170068744803e-06,16.73906707763672,14,6,0,0,0,0
